SampleID,Project,Location,SiteID,ProfileID,CoverType,Position,MinDepth,MaxDepth,MidDepth,RootMass_mg_gsoil,Horizon,Soil_PercC
R8-P-R-225-250,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,225,250,237.5,NA,C,0.0733901
R8-P-R-250-275,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,250,275,262.5,NA,C,0.0387158
RC-NL-M-000-010,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,0,10,5,35.13640993,A,10.526285
RC-NL-M-010-020,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,10,20,15,5.082182526,A,3.43258
RC-NL-M-020-030,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,20,30,25,2.981364832,A,3.04649
RC-NL-M-030-040,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,30,40,35,3.586321443,A,3.00306
RC-NL-M-040-050,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,40,50,45,2.562140141,A,2.50501
RC-NL-M-050-060,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,50,60,55,0.707167058,A,3.91828
RC-NL-M-060-070,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,60,70,65,0.721724518,A,2.57814
RC-NL-M-070-080,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,70,80,75,0.697052943,A,2.46786
RC-NL-M-080-090,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,80,90,85,0.673280032,A,2.29552
RC-NL-M-090-100,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,90,100,95,0.425621314,A,2.12587
RC-NL-M-100-110,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,100,110,105,0.40160054,A,1.90761
RC-NL-M-110-120,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,110,120,115,0.338792399,A,1.84795
RC-NL-M-120-130,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,120,130,125,0.281602691,A,1.525905
RC-NL-M-130-140,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,130,140,135,0.419901081,A,1.26645
RC-NL-M-140-150,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-M,Aspen,Midslope,140,150,145,0.298635254,A,1.53331
RC-NL-T-000-010,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,0,10,5,5.737301876,A,10.3143
RC-NL-T-010-020,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,10,20,15,1.617595634,A,3.2409
RC-NL-T-020-030,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,20,30,25,2.726339973,A,3.29129
RC-NL-T-030-040,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,30,40,35,0.913071084,A,2.43231
RC-NL-T-040-050,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,40,50,45,0.713076852,A,1.98442
RC-NL-T-050-060,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,50,60,55,1.173999364,A,2.2057
RC-NL-T-060-070,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,60,70,65,1.168084055,A,2.10079
RC-NL-T-070-080,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,70,80,75,0.673308171,A,1.57498
RC-NL-T-080-090,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,80,90,85,0.546622901,A,1.31592
RC-NL-T-090-100,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,90,100,95,0.547015417,A,1.30023
RC-NL-T-100-110,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,100,110,105,0.487763855,C,1.11864
RC-NL-T-110-120,CZ,Reynolds Creek ,Reynolds Creek (CZ),RC-NL-T,Sagebrush,Toeslope,110,120,115,0.801148504,C,0.832607
RCEW-FRES-OCJ-6-0,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OCJ,Dead Juniper,NA,-6,0,-3,NA,O,6.5876
RCEW-FRES-OCJ-0-10,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OCJ,Dead Juniper,NA,0,10,5,NA,A,1.1064
RCEW-FRES-OCJ-10-28,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OCJ,Dead Juniper,NA,10,28,19,NA,B,1.189
RCEW-FRES-OCJ-28-39,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OCJ,Dead Juniper,NA,28,39,33.5,NA,B,1.1163
RCEW-FRES-OLJ-4-0,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLJ,Live Juniper,NA,-4,0,-2,NA,O,5.4468
RCEW-FRES-OLJ-0-21,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLJ,Live Juniper,NA,0,21,10.5,NA,A,1.0208
RCEW-FRES-OLJ-21-36,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLJ,Live Juniper,NA,21,36,28.5,NA,B,0.8537
RCEW-FRES-YCJ-0-13,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YCJ,Dead Juniper,NA,0,13,6.5,NA,A,1.1342
RCEW-FRES-YLJ-0-7,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLJ,Live Juniper,NA,0,7,3.5,6.739272092,A,2.1458
RCEW-FRES-YLJ-7-29,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLJ,Live Juniper,NA,7,29,18,2.907793136,A,1.253
RCEW-FRES-YLJ-29-40,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLJ,Live Juniper,NA,29,40,34.5,0.795543562,B,0.6887
RCEW-FRES-YLJ-40-59,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-YLJ,Live Juniper,NA,40,59,49.5,0.345837619,B,0.4629
RCEW-FRES-OLS-6-0,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLS,Live Sagebrush,NA,-6,0,-3,NA,O,2.5055
RCEW-FRES-OLS-0-6,FRES,Reynolds Creek ,Reynolds Creek (FRES),RC-OLS,Live Sagebrush,NA,0,6,3,NA,A,1.7896
