SampleID,SampleNumber,Project,Location,SiteID,ProfileID,NatBiome,CoverType,Position,Lithology,SoilFormation,MinDepth,MaxDepth,MidDepth,Horizon_Full,Horizon,Extractant,ppm_NH4.N,ugNH4.N_gDrySoil,ppm_NO3.N,ugNO3.N_gDrySoil,ppm_PO4.P,ugPO4.P_gDrySoil,RootMass_mg_gsoil,pH,STL_SoilP_ExtractionMethod,STL_SoilP_ppm,STL_ugP_gDrySoil,Soil_PercC,Soil_MgCg,SoilPO4.P_ug_g,MAP,DomVeg,P_Efficiency
CC2-FRES-5-21,493,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,5,21,13,A,A,Apase,0.2372,1.373334086,0,0,0.1935,1.120321018,7.170889603,NA,Mehlich-3,15,150,3.22972,32.2972,0.3086,600,Evergreen woody spp,0.007468807
CC2-FRES-61.5-64,276,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,61.5,64,62.75,2A,A,Malic Acid,0.1124,0.658503967,0,0,0.081221,0.475839419,0.101169384,NA,Mehlich-3,3,30,1.14458,11.4458,0,600,Evergreen woody spp,0.015861314
CC2-FRES-61.5-64,495,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,61.5,64,62.75,2A,A,Apase,0.0756,0.441140265,0,0,0.0149,0.086944311,0.101169384,NA,Mehlich-3,3,30,1.14458,11.4458,0,600,Evergreen woody spp,0.002898144
CC2-FRES-61.5-64,57,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,61.5,64,62.75,2A,A,Oxalic Acid,0.1438,0.849271044,0,0,0.655976676,3.874144622,0.101169384,NA,Mehlich-3,3,30,1.14458,11.4458,0,600,Evergreen woody spp,0.129138154
CC2-FRES-64-70,496,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,64,70,67,2Bwt,B,Apase,0.049,0.280283615,0,0,0.0123,0.070356907,0.823465727,NA,Mehlich-3,4,40,0.686105,6.86105,0,600,Evergreen woody spp,0.001758923
CC2-FRES-64-70,277,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,64,70,67,2Bwt,B,Malic Acid,0,0,0,0,0.129137,0.750563278,0.823465727,NA,Mehlich-3,4,40,0.686105,6.86105,0,600,Evergreen woody spp,0.018764082
CC2-FRES-64-70,58,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,64,70,67,2Bwt,B,Oxalic Acid,0.1245,0.722159314,0,0,1.734693878,10.06205093,0.823465727,NA,Mehlich-3,4,40,0.686105,6.86105,0,600,Evergreen woody spp,0.251551273
CC2-FRES-70-72,497,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,70,72,71,2Bt,B,Apase,0.0782,0.478599034,0,0,0.0166,0.101595191,2.946433566,NA,Mehlich-3,3,30,0.842438,8.42438,0,600,Evergreen woody spp,0.003386506
CC2-FRES-70-72,278,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,70,72,71,2Bt,B,Malic Acid,0.1044,0.631295998,0,0,0.112357,0.679411154,2.946433566,NA,Mehlich-3,3,30,0.842438,8.42438,0,600,Evergreen woody spp,0.022647038
CC2-FRES-70-72,59,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,70,72,71,2Bt,B,Oxalic Acid,0.148,0.902143429,0,0,0.73372206,4.472449564,2.946433566,NA,Mehlich-3,3,30,0.842438,8.42438,0,600,Evergreen woody spp,0.149081652
